i,q,p_L
30,0.0,0.6434302428331836
30,0.05,0.6433789834873501
30,0.1,0.6431024330909568
30,0.15,0.6427752946064214
30,0.2,0.6425975589129324
30,0.25,0.6419243869457317
30,0.3,0.6418307523145108
30,0.35,0.6411762399868152
30,0.4,0.6408169944964001
30,0.45,0.6396610885477066
30,0.5,0.6391831857511959
30,0.55,0.6382792103488059
30,0.6,0.6378828885545745
30,0.65,0.6373450392884378
30,0.7,0.6369270545939315
30,0.75,0.6363299820894909
30,0.8,0.6356087037777789
30,0.85,0.6341858991547978
30,0.9,0.6334187363675705
30,0.95,0.6323698672759509
30,1.0,0.6300391915045426
30,1.05,0.6301561777071043
30,1.1,0.6296423208496351
30,1.15,0.628219471345916
30,1.2,0.6269334546097116
30,1.25,0.6260714512958729
30,1.3,0.6247576774752847
30,1.35,0.623903566209344
30,1.4,0.6258848124675221
30,1.45,0.6211979808167614
30,1.5,0.6199248225959078
30,1.55,0.6181012531348086
30,1.6,0.6164317495586645
30,1.65,0.615335309154326
30,1.7,0.6134097914496542
30,1.75,0.6115702535159565
30,1.8,0.6101383514499242
30,1.85,0.608800217098012
30,1.9,0.6067251067259998
30,1.95,0.6049189639705411
30,2.0,0.6011352400876301
30,2.05,0.6008526545020089
30,2.1,0.598847080002889
30,2.15,0.5965927093712856
30,2.2,0.5948317795905907
30,2.25,0.5925122974883698
30,2.3,0.5903423991769102
30,2.35,0.5885039122243018
30,2.4,0.5857888336503754
30,2.45,0.5834802899219099
30,2.5,0.5813369326099045
30,2.55,0.5791871113379253
30,2.6,0.5772460574557875
30,2.65,0.5742730103797561
30,2.7,0.571605066968341
30,2.75,0.5695858712327027
30,2.8,0.5674244672711274
30,2.85,0.5660890196450542
30,2.9,0.5628598024154865
30,2.95,0.5610878598270919
35,0.0,0.6264116673984653
35,0.05,0.6264368067356746
35,0.1,0.6260839955287734
35,0.15,0.6253566148737753
35,0.2,0.6253091053189939
35,0.25,0.6251907705325596
35,0.3,0.6245906420136664
35,0.35,0.6239014534303121
35,0.4,0.6232109032413397
35,0.45,0.6228333081949119
35,0.5,0.621960732243869
35,0.55,0.6205418218570192
35,0.6,0.6200332253539852
35,0.65,0.6197006012270405
35,0.7,0.6186073325120385
35,0.75,0.6177494522775344
35,0.8,0.616811955676357
35,0.85,0.6159735355101991
35,0.9,0.6152439362950389
35,0.95,0.6133152991159404
35,1.0,0.6106501242920476
35,1.05,0.6110669375519778
35,1.1,0.6093665729660256
35,1.15,0.6080430721090474
35,1.2,0.6068929270013277
35,1.25,0.6056905164935272
35,1.3,0.603924878859063
35,1.35,0.60244920103469
35,1.4,0.600649873088677
35,1.45,0.5993004867201017
35,1.5,0.5975801761346226
35,1.55,0.5954466260777552
35,1.6,0.5934235989136454
35,1.65,0.5916507001148742
35,1.7,0.589759954479472
35,1.75,0.587439078869238
35,1.8,0.5848397138015077
35,1.85,0.5833087905303448
35,1.9,0.580599102612535
35,1.95,0.5789640937533189
35,2.0,0.5750055024535828
35,2.05,0.5737718425182907
35,2.1,0.5713591366569574
35,2.15,0.5686790173710937
35,2.2,0.5658259732145885
35,2.25,0.5634184694757438
35,2.3,0.5605294427227508
35,2.35,0.5577996420673538
35,2.4,0.5549216109310964
35,2.45,0.5527880236417335
35,2.5,0.5500241346800185
35,2.55,0.5474654726984457
35,2.6,0.5444958358099853
35,2.65,0.5411544224755783
35,2.7,0.5388436190498204
35,2.75,0.5366351673989656
35,2.8,0.5332840882355271
35,2.85,0.5322178934196257
35,2.9,0.5293513602878203
35,2.95,0.5279684540780814
40,0.0,0.6145899818859872
40,0.05,0.6144966193580224
40,0.1,0.6146404347439123
40,0.15,0.6138813309245659
40,0.2,0.61300235973193
40,0.25,0.6130648649476321
40,0.3,0.6126152542977589
40,0.35,0.611559745837971
40,0.4,0.6111692592230801
40,0.45,0.6102069213968263
40,0.5,0.6098670519622544
40,0.55,0.6078643642076337
40,0.6,0.6072886508522579
40,0.65,0.6068755972005252
40,0.7,0.6059578014772357
40,0.75,0.604780670444154
40,0.8,0.6040737213726158
40,0.85,0.6028026326877821
40,0.9,0.6014290607782679
40,0.95,0.6000627529375694
40,1.0,0.5966631419991659
40,1.05,0.5968628082937368
40,1.1,0.5951424400364554
40,1.15,0.5935508166907116
40,1.2,0.5924754821950499
40,1.25,0.5906070459760456
40,1.3,0.5887038860528653
40,1.35,0.5863905128339741
40,1.4,0.5851206790644927
40,1.45,0.5828069671405437
40,1.5,0.5809336163011279
40,1.55,0.5777692823776314
40,1.6,0.5753226464877346
40,1.65,0.5736494637779254
40,1.7,0.5712494709997614
40,1.75,0.5689799689562708
40,1.8,0.5665431648692806
40,1.85,0.5639857467191184
40,1.9,0.5611171496831137
40,1.95,0.558596489290763
40,2.0,0.5529570223102338
40,2.05,0.5525650471478715
40,2.1,0.5491026708184653
40,2.15,0.5468890849832524
40,2.2,0.5433913394230776
40,2.25,0.5404650366057859
40,2.3,0.537523184256724
40,2.35,0.5344570552712008
40,2.4,0.5309257598668171
40,2.45,0.5277897163755138
40,2.5,0.5254267874528761
40,2.55,0.5221123728799287
40,2.6,0.518823426743074
40,2.65,0.516153383984986
40,2.7,0.512303122316348
40,2.75,0.510096773311435
40,2.8,0.5063891670833137
40,2.85,0.50570462118822
40,2.9,0.5031250001406803
40,2.95,0.4996367987056607
45,0.0,0.6014321444731522
45,0.05,0.6014865981361519
45,0.1,0.6008537380563329
45,0.15,0.6002068766685614
45,0.2,0.5999566592508634
45,0.25,0.5991470909031644
45,0.3,0.5986163471236188
45,0.35,0.5976679249345856
45,0.4,0.5966391530463818
45,0.45,0.5959430856106879
45,0.5,0.5952880010508184
45,0.55,0.5946973616496836
45,0.6,0.593649054000884
45,0.65,0.59216445192524
