i,q,p_L
45,2.45,0.5195620243171083
45,2.5,0.5156498012826682
45,2.55,0.5118143970379316
45,2.6,0.5090342939239825
45,2.65,0.5044701632295578
45,2.7,0.5023518999998549
45,2.75,0.4988999765758223
45,2.8,0.49590789170272737
45,2.85,0.4916425399347921
45,2.9,0.48980676311999477
45,2.95,0.48621904618823325
50,0.0,0.6048010195388352
50,0.05,0.6050795949384632
50,0.1,0.6044361881054743
50,0.15,0.6040335255824967
50,0.2,0.6028996282094088
50,0.25,0.601077507075479
50,0.3,0.6021562925589844
50,0.35,0.6016896888506723
50,0.4,0.6007571296358659
50,0.45,0.6000344909281755
50,0.5,0.5991144209027648
50,0.55,0.598442331878925
50,0.6,0.5970134724784021
50,0.65,0.5959853064166982
50,0.7,0.5945998345595535
50,0.75,0.5935912797570193
50,0.8,0.5923254757102979
50,0.85,0.5913998736022659
50,0.9,0.5899787921455063
50,0.95,0.5880775803462568
50,1.0,0.5840337434055233
50,1.05,0.5840811092164114
50,1.1,0.5823582276892811
50,1.15,0.5807976915164053
50,1.2,0.5783761158820606
50,1.25,0.5763752031444767
50,1.3,0.5739560323764143
50,1.35,0.5718056294092702
50,1.4,0.5690170466869551
50,1.45,0.5615211932556496
50,1.5,0.5634954812457051
50,1.55,0.5611434844086621
50,1.6,0.5576607778203858
50,1.65,0.5546730857546794
50,1.7,0.551595901330882
50,1.75,0.5486987046111853
50,1.8,0.545420653204599
50,1.85,0.541660134592484
50,1.9,0.5384256329777717
50,1.95,0.5351576510985704
50,2.0,0.5294835024514635
50,2.05,0.5278262243349177
50,2.1,0.5235498931383269
50,2.15,0.5206915142644524
50,2.2,0.5166198743862488
50,2.25,0.5128909899912519
50,2.3,0.5093505500138384
50,2.35,0.5052972949057752
50,2.4,0.5015040774198155
50,2.45,0.49862008752931714
50,2.5,0.49443151396366647
50,2.55,0.49108792292711884
50,2.6,0.48723396100581995
50,2.65,0.48450067340398145
50,2.7,0.4815792076537789
50,2.75,0.47742957969444555
50,2.8,0.4734571864329946
50,2.85,0.4697455442235385
50,2.9,0.4676224646011865
50,2.95,0.4641148546421078
55,0.0,0.5954326855129836
55,0.05,0.5946385308236032
55,0.1,0.5948667429379706
55,0.15,0.5938908728747065
55,0.2,0.5933863722326278
55,0.25,0.5925218291923527
55,0.3,0.5921311080236407
55,0.35,0.5916886421560354
55,0.4,0.5910752320402438
55,0.45,0.5900918280208785
55,0.5,0.5896157073117072
55,0.55,0.5879969832255454
55,0.6,0.5863287613600672
55,0.65,0.5853590461086762
55,0.7,0.5846663616239045
55,0.75,0.582757173953579
55,0.8,0.5814688633187565
55,0.85,0.580930097212547
55,0.9,0.579435302428997
55,0.95,0.5776495408882291
55,1.0,0.5727735155222341
55,1.05,0.572034495526319
55,1.1,0.570601792707718
55,1.15,0.5680344647053819
55,1.2,0.5664078713633598
55,1.25,0.5632219968153264
55,1.3,0.5612134567376771
55,1.35,0.5579385736877851
55,1.4,0.5557541220573791
55,1.45,0.5531392486326299
55,1.5,0.5500270639497558
55,1.55,0.5475029483894758
55,1.6,0.5430897794217382
55,1.65,0.5397134147137227
55,1.7,0.5361137819772996
55,1.75,0.5327876981392852
55,1.8,0.5301631811520519
55,1.85,0.5248515244861544
55,1.9,0.5216019012069781
55,1.95,0.5170289624395509
55,2.0,0.5116291690403333
55,2.05,0.5094947147942552
55,2.1,0.5052246173013006
55,2.15,0.500808554206599
55,2.2,0.49744376442903215
55,2.25,0.4936402853028328
55,2.3,0.4893898753497112
55,2.35,0.4848356675126366
55,2.4,0.4808537090696722
55,2.45,0.4778507793567828
55,2.5,0.4729430260866369
55,2.55,0.4701910287464548
55,2.6,0.4662232635651863
55,2.65,0.4622915258555215
55,2.7,0.4604764525237968
55,2.75,0.45636409724614707
55,2.8,0.45340676960217746
55,2.85,0.4493064364426173
55,2.9,0.4461359071974974
55,2.95,0.4437009951096087
60,0.0,0.5874682235877507
60,0.05,0.5874573153698793
60,0.1,0.5868781100558632
60,0.15,0.5862211745341634
60,0.2,0.5857767899219962
60,0.25,0.5852105849828076
60,0.3,0.5847176095584194
60,0.35,0.5833891160298261
60,0.4,0.583216263677963
60,0.45,0.5825138138285914
60,0.5,0.5813470277467397
60,0.55,0.5802295668850291
60,0.6,0.5779291784493685
60,0.65,0.5769532877360798
60,0.7,0.5763413915924771
60,0.75,0.5742070402894993
60,0.8,0.5730933073696856
60,0.85,0.5718057338537268
60,0.9,0.5700217541738892
60,0.95,0.5686010132568878
60,1.0,0.5633320765608156
60,1.05,0.5630705341626314
60,1.1,0.5608385950679584
60,1.15,0.5579404515077628
60,1.2,0.5560602240254706
60,1.25,0.5529683496067148
60,1.3,0.550542450986365
60,1.35,0.547023890481713
60,1.4,0.5443355919281518
60,1.45,0.5408827242178021
60,1.5,0.5378400758090249
60,1.55,0.5347342415657806
60,1.6,0.5300075056936373
60,1.65,0.5260698080591009
60,1.7,0.5223279144597359
60,1.75,0.5186540661680926
60,1.8,0.5149765581546631
60,1.85,0.5104148661721204
60,1.9,0.50657055008584
60,1.95,0.5025109040195254
60,2.0,0.49678874872956247
