i,q,p_L
30,0.0,0.6535463679704125
30,0.05,0.6538124232380297
30,0.1,0.6533475391287771
30,0.15,0.6532210261939942
30,0.2,0.652650146130188
30,0.25,0.6541273676667178
30,0.3,0.6518844362146858
30,0.35,0.6516624984667401
30,0.4,0.6510350636881901
30,0.45,0.6504648459051385
30,0.5,0.6500541178532442
30,0.55,0.6484937803650515
30,0.6,0.6479799457906215
30,0.65,0.6478044026747697
30,0.7,0.6470832901052641
30,0.75,0.6465261516739826
30,0.8,0.6435742662781957
30,0.85,0.6425397848897784
30,0.9,0.6412720205403022
30,0.95,0.640466279637595
30,1.0,0.6384957785274504
30,1.05,0.6386380594221098
30,1.1,0.6377319720540526
30,1.15,0.6367568629387137
30,1.2,0.6358558965264788
30,1.25,0.6346375595712496
30,1.3,0.6332804056451117
30,1.35,0.632438558918928
30,1.4,0.631023247781757
30,1.45,0.6300880802870988
30,1.5,0.6286673954392469
30,1.55,0.6269380185439619
30,1.6,0.6253530557571305
30,1.65,0.6241496532206904
30,1.7,0.6219300865193494
30,1.75,0.6206368154476737
30,1.8,0.6188505683394256
30,1.85,0.6173689035772997
30,1.9,0.6150701014032234
30,1.95,0.6157180521505627
30,2.0,0.6104905464487042
30,2.05,0.6103384567525723
30,2.1,0.6078205015489929
30,2.15,0.6059049187895379
30,2.2,0.6042486239000165
30,2.25,0.6015666193120871
30,2.3,0.5996011337162416
30,2.35,0.5998326523230277
30,2.4,0.5953519124394223
30,2.45,0.5934421634016545
30,2.5,0.5914132506409885
30,2.55,0.5889107977668232
30,2.6,0.5868291084905793
30,2.65,0.5840090630530959
30,2.7,0.5817183340249991
30,2.75,0.5794649423326267
30,2.8,0.5767412437914324
30,2.85,0.5763505488327967
30,2.9,0.5734964010473547
30,2.95,0.5713171473983694
35,0.0,0.6384892667075489
35,0.05,0.640053945620093
35,0.1,0.6376218401572334
35,0.15,0.6372761893585404
35,0.2,0.6373791684065113
35,0.25,0.6372964916076004
35,0.3,0.6362285075118554
35,0.35,0.6359791065516329
35,0.4,0.6354337711448735
35,0.45,0.6322264707569576
35,0.5,0.6341395878946822
35,0.55,0.6326566875333739
35,0.6,0.632042819381582
35,0.65,0.6317498886683146
35,0.7,0.6272797150979126
35,0.75,0.6305118749700371
35,0.8,0.6261613966298822
35,0.85,0.6247411572720892
35,0.9,0.6238640538465776
35,0.95,0.622239654847433
35,1.0,0.6199178951532491
35,1.05,0.6198424065392798
35,1.1,0.6188421442903005
35,1.15,0.6174429809195613
35,1.2,0.6161620237077504
35,1.25,0.6143639343876969
35,1.3,0.6133654073320308
35,1.35,0.6118870826288717
35,1.4,0.612690214894649
35,1.45,0.608952022278448
35,1.5,0.6069086867037056
35,1.55,0.6056982512335428
35,1.6,0.6031402897532828
35,1.65,0.6015294732672777
35,1.7,0.5993971223842675
35,1.75,0.5975427210482308
35,1.8,0.5959073039247346
35,1.85,0.5938833304552956
35,1.9,0.5918891339249419
35,1.95,0.5895980177876666
35,2.0,0.5863721982622114
35,2.05,0.5847411701586013
35,2.1,0.5823425571976166
35,2.15,0.5798901797611329
35,2.2,0.577515298919283
35,2.25,0.5749629963389621
35,2.3,0.5720968535585043
35,2.35,0.5696858810895468
35,2.4,0.5671677583979869
35,2.45,0.5642452205379259
35,2.5,0.5620780931188237
35,2.55,0.5597656299685011
35,2.6,0.5565439271996726
35,2.65,0.5537485333982951
35,2.7,0.5509363211544355
35,2.75,0.5483003985247026
35,2.8,0.5456319082089373
35,2.85,0.5439370869618947
35,2.9,0.5405945031808553
35,2.95,0.537894887480754
40,0.0,0.6258866531157181
40,0.05,0.6259213287498042
40,0.1,0.6256575378117469
40,0.15,0.6254467002664305
40,0.2,0.625013996567007
40,0.25,0.624445821314349
40,0.3,0.623951093770951
40,0.35,0.6234072306543526
40,0.4,0.6225717281422822
40,0.45,0.6224012215560762
40,0.5,0.6216072782720323
40,0.55,0.6194771773493004
40,0.6,0.6185031866123084
40,0.65,0.6180564732844525
40,0.7,0.6169834797102125
40,0.75,0.6160630548871235
40,0.8,0.6121589753666189
40,0.85,0.6112863253289864
40,0.9,0.609813935055316
40,0.95,0.6080112225336771
40,1.0,0.605140304282532
40,1.05,0.6049724243456466
40,1.1,0.603815170079705
40,1.15,0.6024086211038843
40,1.2,0.6011471392004469
40,1.25,0.5991813477462465
40,1.3,0.5973070967648935
40,1.35,0.5957196741533135
40,1.4,0.5939479000186295
40,1.45,0.5922043363351251
40,1.5,0.5905971720626163
40,1.55,0.5881147189526454
40,1.6,0.585441055403809
40,1.65,0.5834013036557748
40,1.7,0.5809879714070617
40,1.75,0.578802679187353
40,1.8,0.5768086612114668
40,1.85,0.5740001803599938
40,1.9,0.5715319927541122
40,1.95,0.5685572365528323
40,2.0,0.5638178089890632
40,2.05,0.5640724338507221
40,2.1,0.5599332973742862
40,2.15,0.5567125387240702
40,2.2,0.55374071055593
40,2.25,0.5513159149046383
40,2.3,0.5477558941010198
40,2.35,0.5449242130960931
40,2.4,0.5427654832215668
40,2.45,0.5388071189674811
40,2.5,0.5350707436599936
40,2.55,0.5328975553110366
40,2.6,0.5288715075436495
40,2.65,0.5266122174621983
40,2.7,0.5236855772820509
40,2.75,0.520782773722119
40,2.8,0.5176152467007252
40,2.85,0.5158064889171405
40,2.9,0.5132103721758454
40,2.95,0.5104223164291157
45,0.0,0.6130235669306561
45,0.05,0.6126621466311588
45,0.1,0.6129543822045365
45,0.15,0.6119939009443434
45,0.2,0.6111618435701415
45,0.25,0.611695040207472
45,0.3,0.6107807968966451
45,0.35,0.6097194603553076
45,0.4,0.6090301962228187
45,0.45,0.608689917199141
45,0.5,0.6082338096847453
45,0.55,0.6064820033560476
45,0.6,0.6056300315450109
45,0.65,0.6042418706508015
45,0.7,0.6034220933424619
45,0.75,0.6023797304280275
45,0.8,0.5981993294003947
45,0.85,0.5974157098984623
45,0.9,0.5958297171499566
45,0.95,0.5942155128684582
45,1.0,0.5909372619877835
45,1.05,0.5903101078514611
45,1.1,0.5886253095519413
45,1.15,0.5873977149722122
45,1.2,0.5856980550835806
45,1.25,0.5838152663652526
45,1.3,0.5811558211232976
45,1.35,0.5799205051620083
45,1.4,0.5775568107481936
45,1.45,0.575041095166209
45,1.5,0.5731207638719216
45,1.55,0.5707300722545378
45,1.6,0.5673455705672216
45,1.65,0.5649845640841681
45,1.7,0.5626643520722935
45,1.75,0.5597719236055826
45,1.8,0.5558609614915376
45,1.85,0.5537027631080911
45,1.9,0.5510803038126283
45,1.95,0.5477434507557603
45,2.0,0.5437341057962932
45,2.05,0.54033316827979
45,2.1,0.5369674587044658
45,2.15,0.5340080655760943
45,2.2,0.5310351735220858
45,2.25,0.5266894538311143
45,2.3,0.5237075950949602
45,2.35,0.5202470322858456
45,2.4,0.5172234016480252
45,2.45,0.5133716185382042
45,2.5,0.5101276147722601
45,2.55,0.5063106996011086
45,2.6,0.503599687316954
45,2.65,0.49973010109762656
45,2.7,0.4969131775816278
45,2.75,0.4927260121541554
45,2.8,0.49023730799092924
45,2.85,0.48833800013989015
45,2.9,0.48526242426138205
45,2.95,0.4820549449155205
50,0.0,0.6029787033986541
50,0.05,0.6023807911845139
50,0.1,0.6016043441093767
50,0.15,0.6015379457037742
50,0.2,0.5994871570076423
50,0.25,0.6005964002170993
50,0.3,0.5998081194058462
50,0.35,0.6011800132015181
50,0.4,0.5981906604396
50,0.45,0.5994503289369617
50,0.5,0.5965468820471433
50,0.55,0.5951491010317029
50,0.6,0.5943271762585677
50,0.65,0.5930552347284984
50,0.7,0.5921496602368796
50,0.75,0.5912112702992331
50,0.8,0.5875063923386223
50,0.85,0.5861357865154544
50,0.9,0.5852817916191366
50,0.95,0.5837439941883538
50,1.0,0.5798081628033303
50,1.05,0.5786222349382008
50,1.1,0.5778230904282841
50,1.15,0.5760902434254536
50,1.2,0.5741138128889052
50,1.25,0.5714377682898678
50,1.3,0.5689363974473497
50,1.35,0.5669726956715054
50,1.4,0.5648890454570547
50,1.45,0.5655214215627824
50,1.5,0.559135932913018
50,1.55,0.556254472803376
50,1.6,0.5535237377331038
50,1.65,0.5501197668977035
50,1.7,0.5472568929039611
50,1.75,0.5438283769138472
50,1.8,0.5410807724546304
50,1.85,0.5372504443512953
50,1.9,0.5339183964477929
50,1.95,0.5306097096260701
50,2.0,0.5251731778023357
50,2.05,0.523113374920153
50,2.1,0.5196598920127513
50,2.15,0.5159735621191506
50,2.2,0.5120999862213229
50,2.25,0.5078598554075221
50,2.3,0.5051512562659816
50,2.35,0.50132834320297
50,2.4,0.4977711244995675
50,2.45,0.4938054191554659
50,2.5,0.49059493019888994
50,2.55,0.48679572109235875
50,2.6,0.4838075508270466
50,2.65,0.480159789057889
50,2.7,0.4766967748903166
50,2.75,0.47277682373588453
50,2.8,0.46946179513490965
50,2.85,0.46643682147676885
50,2.9,0.46284004927923206
50,2.95,0.4595932214455199
55,0.0,0.5945815991114388
55,0.05,0.5943504792707293
55,0.1,0.5935978541274152
55,0.15,0.5930262805019527
55,0.2,0.5927098283213169
55,0.25,0.5924829887858638
55,0.3,0.5917167254986228
55,0.35,0.5911645646019466
55,0.4,0.5901491960823619
55,0.45,0.5894881281213449
55,0.5,0.5889494159107385
55,0.55,0.587958830018172
55,0.6,0.5860622488461327
55,0.65,0.5853914183115784
55,0.7,0.5842878653144432
55,0.75,0.5824329539751865
55,0.8,0.5787595551931388
55,0.85,0.578385283351928
55,0.9,0.576606811304801
55,0.95,0.5743655062138154
55,1.0,0.5698454039600045
55,1.05,0.5702213425103805
55,1.1,0.567598615384799
55,1.15,0.5652706739493792
55,1.2,0.5635664136018874
55,1.25,0.5601189607679863
